epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8555,1.42559,2.20643,1.68317,0.22962,0.37888,0.13525,0.08741,1.07756,4.89542,1.15588,0.0671245,0.000332075,0.000332075
2,86.8565,1.2954,1.75828,1.546,0.19398,0.31677,0.118,0.07554,0.99166,2.93803,1.07321,0.0341244,0.000665246,0.000665246
3,126.685,1.18223,1.61571,1.46063,0.16394,0.3354,0.10715,0.06824,1.04343,2.58349,1.06786,0.00112355,0.000997767,0.000997767
4,177.688,1.14218,1.57957,1.41524,0.21415,0.2764,0.12737,0.09179,0.86269,2.86187,1.01048,0.000997803,0.000997803,0.000997803
5,219.905,1.1417,1.50273,1.42795,0.26695,0.26087,0.14836,0.11121,0.77679,2.64474,0.91933,0.000996097,0.000996097,0.000996097
6,261.341,1.07435,1.43734,1.37425,0.19306,0.4302,0.16337,0.11104,0.95976,2.7451,1.19199,0.000993906,0.000993906,0.000993906
7,299.945,1.01039,1.38089,1.33235,0.17772,0.44232,0.15721,0.11493,0.95229,2.3639,1.06004,0.000991232,0.000991232,0.000991232
8,338.722,1.02437,1.37469,1.32502,0.17233,0.40062,0.1398,0.10366,0.73845,2.71709,0.93884,0.000988079,0.000988079,0.000988079
9,377.515,0.97164,1.33699,1.29142,0.18847,0.50992,0.17258,0.12703,0.7462,2.71455,0.90896,0.000984449,0.000984449,0.000984449
10,416.948,0.94324,1.3359,1.28202,0.19878,0.50621,0.1501,0.1125,0.72655,2.34536,0.89577,0.000980345,0.000980345,0.000980345
11,455.39,0.90211,1.28296,1.25054,0.25799,0.31366,0.15446,0.11465,0.7158,2.42118,0.91838,0.000975773,0.000975773,0.000975773
12,494.08,0.89666,1.23382,1.2518,0.22779,0.37651,0.18781,0.13821,0.69403,2.68827,0.84028,0.000970736,0.000970736,0.000970736
13,533.082,0.89641,1.23205,1.25864,0.214,0.48447,0.18622,0.14104,0.70797,2.39847,0.89989,0.000965239,0.000965239,0.000965239
14,571.988,0.91317,1.26115,1.26402,0.21262,0.44447,0.16254,0.12279,0.70135,2.39567,0.87199,0.000959289,0.000959289,0.000959289
15,611.173,0.86898,1.21948,1.22528,0.21379,0.48758,0.15722,0.12496,0.60835,2.09491,0.80433,0.000952889,0.000952889,0.000952889
16,656.608,0.87373,1.20374,1.2279,0.20153,0.48137,0.15394,0.1169,0.71776,2.67954,0.87047,0.000946048,0.000946048,0.000946048
17,712.413,0.81573,1.20514,1.20655,0.22096,0.50032,0.1798,0.12908,0.70401,2.53289,0.87593,0.000938772,0.000938772,0.000938772
18,768.191,0.819,1.17184,1.21111,0.27138,0.29503,0.14959,0.11302,0.62658,3.0137,0.8353,0.000931067,0.000931067,0.000931067
19,824.048,0.83218,1.15155,1.20615,0.19263,0.48758,0.12865,0.09872,0.63216,2.54213,0.85542,0.000922942,0.000922942,0.000922942
20,882.995,0.83319,1.13511,1.21623,0.21325,0.50932,0.1494,0.11827,0.57064,2.34345,0.79553,0.000914405,0.000914405,0.000914405
21,941.358,0.83662,1.13356,1.21035,0.2031,0.53268,0.16352,0.12714,0.62561,2.59218,0.81443,0.000905463,0.000905463,0.000905463
22,996.828,0.79032,1.10175,1.19157,0.24724,0.52484,0.1881,0.14709,0.61463,2.22232,0.81505,0.000896127,0.000896127,0.000896127
23,1053.02,0.80494,1.08742,1.19334,0.22768,0.5,0.17287,0.13591,0.57476,2.20696,0.77957,0.000886404,0.000886404,0.000886404
24,1108.46,0.81472,1.09127,1.20333,0.19685,0.5,0.17149,0.12872,0.60281,2.65104,0.81025,0.000876305,0.000876305,0.000876305
25,1164.53,0.80262,1.06709,1.18685,0.28663,0.30745,0.17442,0.12991,0.61027,2.56229,0.81895,0.000865839,0.000865839,0.000865839
26,1201.47,0.8113,1.07462,1.19968,0.2271,0.54037,0.19985,0.14498,0.62667,2.43686,0.82888,0.000855018,0.000855018,0.000855018
27,1230.21,0.76056,1.06297,1.16187,0.24087,0.51863,0.17016,0.13103,0.55421,2.21578,0.78149,0.000843851,0.000843851,0.000843851
28,1259.01,0.71796,1.05133,1.14355,0.23627,0.50932,0.17561,0.1386,0.60491,2.2741,0.79583,0.000832349,0.000832349,0.000832349
29,1287.71,0.73013,1.03573,1.15948,0.22023,0.49689,0.15138,0.12188,0.5706,2.319,0.77557,0.000820525,0.000820525,0.000820525
30,1316.62,0.77628,1.04156,1.17916,0.2302,0.49689,0.17869,0.14217,0.56815,2.2436,0.76882,0.000808389,0.000808389,0.000808389
31,1345.54,0.72451,1.03304,1.14353,0.22831,0.48137,0.16788,0.13149,0.58813,2.14871,0.76877,0.000795954,0.000795954,0.000795954
32,1374.37,0.74648,0.99631,1.15577,0.21916,0.48137,0.15159,0.1203,0.57716,2.31687,0.76369,0.000783231,0.000783231,0.000783231
33,1403.18,0.71544,0.99901,1.14417,0.21903,0.48137,0.16487,0.13509,0.50769,2.13812,0.71873,0.000770234,0.000770234,0.000770234
34,1431.84,0.72633,1.00258,1.15705,0.21926,0.54348,0.16909,0.13152,0.57802,2.67633,0.76478,0.000756976,0.000756976,0.000756976
35,1460.18,0.70606,0.99813,1.14686,0.2261,0.50621,0.16717,0.13863,0.52573,2.19355,0.74041,0.000743468,0.000743468,0.000743468
36,1488.76,0.69195,0.97594,1.13813,0.22093,0.51242,0.17629,0.13901,0.56834,2.65608,0.78277,0.000729725,0.000729725,0.000729725
37,1530.54,0.70293,0.96557,1.14575,0.22744,0.49689,0.1579,0.12829,0.60683,2.50116,0.7523,0.000715761,0.000715761,0.000715761
38,1559.21,0.70489,0.95531,1.14709,0.22831,0.50621,0.17449,0.13861,0.53535,2.75771,0.74085,0.000701588,0.000701588,0.000701588
39,1587.9,0.71023,0.97705,1.13156,0.2261,0.5,0.17091,0.13765,0.52857,2.58482,0.74481,0.000687222,0.000687222,0.000687222
40,1616.08,0.72119,0.93717,1.14708,0.22882,0.52174,0.17407,0.14284,0.51647,2.81519,0.73297,0.000672675,0.000672675,0.000672675
41,1644.54,0.66973,0.90357,1.11061,0.23182,0.53416,0.18105,0.14402,0.48819,2.52982,0.71516,0.000657963,0.000657963,0.000657963
42,1672.81,0.67801,0.93996,1.12066,0.21771,0.53727,0.19062,0.14958,0.50265,2.76625,0.73204,0.000643101,0.000643101,0.000643101
43,1701.03,0.68147,0.90107,1.1234,0.24501,0.52484,0.16843,0.13952,0.46229,2.34336,0.69049,0.000628101,0.000628101,0.000628101
44,1729.29,0.68264,0.90642,1.12138,0.23584,0.50311,0.16767,0.13763,0.50459,2.48529,0.72061,0.000612981,0.000612981,0.000612981
45,1757.76,0.6494,0.89537,1.10926,0.21589,0.52484,0.17082,0.14294,0.48342,2.42894,0.6975,0.000597754,0.000597754,0.000597754
46,1786.42,0.67783,0.89452,1.12827,0.24353,0.51242,0.17164,0.13845,0.53927,2.41246,0.71109,0.000582435,0.000582435,0.000582435
47,1815.74,0.64906,0.8939,1.11242,0.24515,0.50311,0.17238,0.14611,0.47114,2.11311,0.69341,0.00056704,0.00056704,0.00056704
48,1845.18,0.62777,0.87517,1.1019,0.23576,0.52484,0.17021,0.14098,0.47728,2.51988,0.68695,0.000551584,0.000551584,0.000551584
49,1874.49,0.65673,0.87211,1.10989,0.2406,0.50621,0.18529,0.15321,0.48411,2.34104,0.70502,0.000536081,0.000536081,0.000536081
50,1903.02,0.61822,0.85288,1.09684,0.24079,0.52484,0.19016,0.15996,0.47005,2.59547,0.67819,0.000520548,0.000520548,0.000520548
51,1931.34,0.65394,0.88126,1.11317,0.2336,0.52795,0.17866,0.14985,0.47561,2.62126,0.68282,0.000505,0.000505,0.000505
52,1959.44,0.6153,0.88619,1.09505,0.24021,0.50932,0.17092,0.14172,0.44433,2.54977,0.68396,0.000489452,0.000489452,0.000489452
53,1988.16,0.60137,0.8429,1.09697,0.23472,0.47826,0.16628,0.13814,0.48609,2.53848,0.70737,0.000473919,0.000473919,0.000473919
54,2016.22,0.61454,0.83995,1.10114,0.245,0.54037,0.18165,0.15125,0.43702,2.49153,0.66463,0.000458416,0.000458416,0.000458416
55,2044.29,0.59646,0.83384,1.08274,0.23844,0.51863,0.16156,0.13501,0.45111,2.5243,0.67272,0.00044296,0.00044296,0.00044296
56,2072.81,0.59622,0.82681,1.07836,0.24516,0.50311,0.16992,0.14056,0.45209,2.64823,0.67782,0.000427565,0.000427565,0.000427565
57,2101.89,0.63262,0.83467,1.10674,0.23356,0.54658,0.1812,0.14679,0.48752,2.70891,0.68544,0.000412246,0.000412246,0.000412246
58,2130.64,0.60354,0.81299,1.07494,0.25885,0.51553,0.18422,0.15659,0.45267,2.3254,0.66924,0.000397019,0.000397019,0.000397019
59,2159.39,0.59562,0.81896,1.08794,0.23831,0.52484,0.17919,0.15036,0.4156,2.46379,0.65782,0.000381899,0.000381899,0.000381899
60,2188.22,0.58419,0.82065,1.07942,0.2552,0.51863,0.18319,0.15466,0.4307,2.45743,0.66137,0.000366899,0.000366899,0.000366899
61,2216.23,0.59629,0.81506,1.08467,0.24162,0.50932,0.1875,0.15997,0.42375,2.57245,0.65924,0.000352037,0.000352037,0.000352037
62,2244.96,0.57213,0.81637,1.08374,0.23947,0.52316,0.17521,0.1453,0.4277,2.58854,0.66321,0.000337325,0.000337325,0.000337325
63,2273.38,0.57144,0.78979,1.07409,0.24021,0.50311,0.17417,0.14948,0.43313,2.70102,0.66,0.000322778,0.000322778,0.000322778
64,2301.42,0.5602,0.79232,1.07049,0.25366,0.50621,0.17912,0.15183,0.43616,2.43244,0.65915,0.000308412,0.000308412,0.000308412
65,2330.27,0.57536,0.76457,1.07759,0.24246,0.51242,0.17933,0.1541,0.41643,2.48296,0.65392,0.000294239,0.000294239,0.000294239
66,2358.94,0.54962,0.75196,1.06393,0.25534,0.51863,0.18141,0.15681,0.42043,2.49552,0.65155,0.000280275,0.000280275,0.000280275
67,2386.89,0.56414,0.78853,1.08129,0.24434,0.49689,0.1656,0.14355,0.39101,2.52691,0.62803,0.000266532,0.000266532,0.000266532
68,2415.5,0.5704,0.77108,1.08314,0.24763,0.50621,0.16986,0.1448,0.40629,2.38466,0.63178,0.000253024,0.000253024,0.000253024
69,2443.69,0.55233,0.76698,1.07331,0.24182,0.49068,0.16509,0.14581,0.40379,2.36794,0.65001,0.000239766,0.000239766,0.000239766
70,2472.48,0.55218,0.74889,1.07147,0.25451,0.49689,0.17461,0.15247,0.42546,2.38701,0.65862,0.000226769,0.000226769,0.000226769
71,7678.32,0.53137,0.73597,1.05262,0.2354,0.51553,0.17749,0.15124,0.41649,2.60744,0.65275,0.000214046,0.000214046,0.000214046
72,7706.09,0.53367,0.72713,1.06186,0.28764,0.33983,0.17965,0.15148,0.42278,2.6966,0.6479,0.000201611,0.000201611,0.000201611
73,7733.93,0.53631,0.74129,1.055,0.24064,0.50311,0.1706,0.15077,0.42383,2.47613,0.64926,0.000189475,0.000189475,0.000189475
74,7761.79,0.53342,0.72676,1.05167,0.2469,0.49689,0.17194,0.15121,0.4239,2.45493,0.64933,0.000177651,0.000177651,0.000177651
75,7789.44,0.52651,0.73208,1.05549,0.25411,0.50621,0.17538,0.1527,0.42965,2.59248,0.64459,0.000166149,0.000166149,0.000166149
